N;Time;fitness;Cache Size
8;0.25342893600463867;0;3
8;0.004532814025878906;0;1
8;0.2781078815460205;0;3
8;0.0;0;1
8;0.007997512817382812;0;1
8;0.0;0;1
8;0.0;0;1
8;1.1524574756622314;0;10
8;1.5154414176940918;0;13
8;0.3940699100494385;0;4
8;0.2519218921661377;0;3
8;0.514254093170166;0;5
8;0.008020639419555664;0;1
8;0.12962675094604492;0;2
8;0.0;0;1
8;0.594353199005127;0;5
8;0.6034972667694092;0;6
8;0.5773799419403076;0;5
8;0.004246234893798828;0;1
8;0.256544828414917;0;3
8;0.005038022994995117;0;1
8;0.8327827453613281;0;8
8;0.002203226089477539;0;1
8;0.09765172004699707;0;2
8;0.0;0;1
8;0.08523321151733398;0;2
8;0.008044958114624023;0;1
8;0.6998827457427979;0;9
8;0.09155917167663574;0;2
8;0.0;0;1
8;0.5874326229095459;0;8
8;1.500476360321045;0;18
8;0.0;0;1
8;0.0909891128540039;0;2
8;1.1019749641418457;0;14
8;0.6818904876708984;0;9
8;0.0;0;1
8;0.0;0;1
8;0.008014678955078125;0;1
8;0.954369306564331;0;12
8;0.003602266311645508;0;1
8;0.5174062252044678;0;7
8;0.09413552284240723;0;2
8;0.00382232666015625;0;1
8;0.002594470977783203;0;1
8;0.0025565624237060547;0;1
8;0.0;0;1
8;0.2650742530822754;0;4
8;0.17873597145080566;0;3
8;0.008151054382324219;0;1
8;0.6358799934387207;0;8
8;0.5942809581756592;0;8
8;0.0;0;1
8;0.0;0;1
8;0.0;0;1
8;0.08690404891967773;0;2
8;0.008416891098022461;0;1
8;0.0;0;1
8;0.0;0;1
8;0.0;0;1
8;1.2005646228790283;0;15
8;0.007995843887329102;0;1
8;2.124052047729492;0;25
8;0.003702402114868164;0;1
8;0.0010802745819091797;0;1
8;0.0851595401763916;0;2
8;0.2913081645965576;0;4
8;0.7311983108520508;0;9
8;1.2899463176727295;0;16
8;0.08896970748901367;0;2
8;0.0;0;1
8;0.2568690776824951;0;4
8;0.16842436790466309;0;3
8;0.6880414485931396;0;9
8;0.0;0;1
8;0.008006811141967773;0;1
8;0.6880013942718506;0;9
8;2.175574541091919;0;27
8;0.0;0;1
8;0.8427987098693848;0;11
8;0.00800323486328125;0;1
8;0.5243136882781982;0;7
8;0.16676092147827148;0;3
8;0.2019357681274414;0;3
8;0.0813438892364502;0;2
8;0.17842435836791992;0;3
8;0.0;0;1
8;0.08191728591918945;0;2
8;0.0;0;1
8;0.9258956909179688;0;11
8;0.10680651664733887;0;2
8;0.008021354675292969;0;1
8;0.0;0;1
8;0.0;0;1
8;0.007997274398803711;0;1
8;0.0;0;1
8;0.0;0;1
8;0.33660268783569336;0;5
8;0.0;0;1
8;0.0;0;1
9;0.8099610805511475;0;8
9;8.994469404220581;0;87
9;0.0;0;1
9;0.49845314025878906;0;6
9;1.3808143138885498;0;13
9;1.4861297607421875;0;16
9;0.7933981418609619;0;9
9;0.10928988456726074;0;2
9;1.566310167312622;0;15
9;3.421877861022949;0;33
9;0.3332247734069824;0;4
9;0.12306618690490723;0;2
9;0.2083282470703125;0;3
9;1.49674654006958;0;16
9;0.34113192558288574;0;4
9;0.10262203216552734;0;2
9;1.1263360977172852;0;12
9;0.4552907943725586;0;5
9;1.542722225189209;0;16
9;0.0;0;1
9;0.9152154922485352;0;10
9;0.13857340812683105;0;2
9;2.9567227363586426;0;31
9;0.10137200355529785;0;2
9;1.519247055053711;0;16
9;1.4321036338806152;0;14
9;0.23398900032043457;0;3
9;0.008018970489501953;0;1
9;2.29349684715271;0;23
9;0.00801229476928711;0;1
9;0.20402145385742188;0;3
9;0.5660271644592285;0;7
9;3.86905837059021;0;40
9;0.10527706146240234;0;2
9;0.20104479789733887;0;3
9;2.1798088550567627;0;23
9;0.5001533031463623;0;6
9;1.4524345397949219;0;14
9;0.0;0;1
9;0.0036118030548095703;0;1
9;1.8856465816497803;0;18
9;0.015393257141113281;0;1
9;3.2042465209960938;0;29
9;2.0845165252685547;0;21
9;4.2714293003082275;0;43
9;0.0;0;1
9;0.10938453674316406;0;2
9;1.0859613418579102;0;12
9;1.3020398616790771;0;14
9;0.11134481430053711;0;2
9;2.1327288150787354;0;22
9;1.1272673606872559;0;12
9;0.2024695873260498;0;3
9;6.994145393371582;0;70
9;0.004293203353881836;0;1
9;0.0;0;1
9;0.00892019271850586;0;1
9;0.002531766891479492;0;1
9;0.0034246444702148438;0;1
9;0.5350766181945801;0;6
9;0.8938024044036865;0;10
9;0.10152554512023926;0;2
9;0.20686650276184082;0;3
9;0.10170888900756836;0;2
9;1.0554609298706055;0;12
9;0.8294250965118408;0;9
9;0.5005302429199219;0;6
9;2.901040554046631;0;30
9;2.746206283569336;0;29
9;0.0;0;1
9;0.0977940559387207;0;2
9;0.0;0;1
9;9.779748678207397;0;99
9;1.9225807189941406;0;20
9;0.1096186637878418;0;2
9;2.1959478855133057;0;23
9;0.8647058010101318;0;10
9;0.0;0;1
9;1.666783332824707;0;18
9;1.7936830520629883;0;20
9;0.015622138977050781;0;1
9;0.0;0;1
9;0.0;0;1
9;1.4522297382354736;0;16
9;0.7801907062530518;0;9
9;0.0842435359954834;0;2
9;0.0;0;1
9;1.3593604564666748;0;15
9;0.47500109672546387;0;6
9;0.6835577487945557;0;8
9;1.6911003589630127;0;19
9;0.3715171813964844;0;5
9;1.8135647773742676;0;20
9;0.20379972457885742;0;3
9;0.0;0;1
9;0.1954517364501953;0;3
9;4.1236255168914795;0;43
9;0.0;0;1
9;0.0;0;1
9;0.3043351173400879;0;4
10;0.007756948471069336;0;1
10;3.884000062942505;0;25
10;5.558830738067627;0;68
10;4.8634936809539795;0;46
10;4.017132997512817;0;37
10;1.7399423122406006;0;22
10;2.849781036376953;0;27
10;0.8400955200195312;0;8
10;0.0;0;1
10;1.9982507228851318;0;18
10;9.71992564201355;0;87
10;2.5585217475891113;0;23
10;3.164034128189087;0;39
10;0.23662114143371582;0;3
10;0.6999378204345703;0;7
10;1.7124183177947998;0;17
10;0.45185112953186035;0;5
10;2.77890682220459;0;26
10;5.6512720584869385;0;53
10;0.7616012096405029;0;10
10;4.1522111892700195;0;37
10;1.0782039165496826;0;10
10;3.7111573219299316;0;34
10;2.981982707977295;0;28
10;0.3833434581756592;0;5
10;7.94923996925354;0;73
10;4.634615182876587;0;56
10;1.4175078868865967;0;13
10;4.514153957366943;0;41
10;6.290058612823486;0;58
10;10.276180028915405;0;93
10;8.495234727859497;0;76
10;8.049123525619507;0;71
10;13.070106267929077;0;89
10;1.8931546211242676;0;24
10;12.751296281814575;0;158
10;1.7532103061676025;0;17
10;4.968388795852661;0;46
10;7.816932678222656;0;72
10;0.4710352420806885;0;5
10;10.02413272857666;0;94
10;4.288802146911621;0;40
10;0.0;0;1
10;0.75931715965271;0;8
10;4.108626842498779;0;38
10;9.241679191589355;0;73
10;9.572405576705933;0;80
10;4.4678215980529785;0;41
10;2.640073299407959;0;25
10;3.4146006107330322;0;33
10;6.39177942276001;0;59
10;0.21984267234802246;0;3
10;0.3265507221221924;0;4
10;10.171236038208008;0;96
10;0.6652133464813232;0;9
10;1.8001503944396973;0;18
10;1.304025650024414;0;17
10;0.25482773780822754;0;4
10;1.7671689987182617;0;22
10;4.940855264663696;0;61
10;1.4871423244476318;0;19
10;6.583881139755249;0;81
10;1.7532825469970703;0;23
10;4.657876968383789;0;58
10;3.2693865299224854;0;42
10;1.5872023105621338;0;20
10;5.340987920761108;0;66
10;0.8322567939758301;0;11
10;0.20299983024597168;0;3
10;2.4121387004852295;0;30
10;14.612717390060425;0;177
10;0.44118785858154297;0;6
10;1.7816271781921387;0;22
10;2.773214340209961;0;33
10;4.473025560379028;0;55
10;1.1436152458190918;0;15
10;3.0572452545166016;0;38
10;3.2378456592559814;0;41
10;3.356353759765625;0;41
10;7.436412811279297;0;92
10;1.0427870750427246;0;14
10;5.395139932632446;0;67
10;3.7588772773742676;0;47
10;0.3349437713623047;0;5
10;4.298949718475342;0;54
10;0.49999499320983887;0;7
10;4.342458486557007;0;53
10;0.2637505531311035;0;4
10;8.851816415786743;0;92
10;0.10629796981811523;0;2
10;1.8256399631500244;0;19
10;2.459918975830078;0;26
10;3.418013334274292;0;40
10;1.0991134643554688;0;14
10;1.911963939666748;0;22
10;1.2404723167419434;0;15
10;3.9295971393585205;0;45
10;6.222882986068726;0;71
10;0.003599405288696289;0;1
10;1.1504004001617432;0;14
11;1.0406382083892822;0;12
11;11.666274070739746;0;126
11;18.49161672592163;2;200
11;18.606468439102173;1;200
11;7.2666335105896;0;80
11;7.107715606689453;0;77
11;1.3806583881378174;0;16
11;0.19635462760925293;0;3
11;4.06480598449707;0;45
11;4.326600074768066;0;48
11;4.057841539382935;0;46
11;8.892059803009033;0;86
11;5.121379375457764;0;54
11;9.135808229446411;0;99
11;2.772954225540161;0;30
11;2.528733968734741;0;27
11;0.7447097301483154;0;9
11;9.055804967880249;0;99
11;0.003000020980834961;0;1
11;10.563668727874756;0;110
11;8.959949493408203;0;91
11;4.140785455703735;0;42
11;0.3063468933105469;0;4
11;11.725452661514282;0;116
11;6.764200687408447;0;70
11;7.6050426959991455;0;80
11;12.07358169555664;0;122
11;17.847630739212036;0;197
11;0.09727668762207031;0;2
11;1.7328007221221924;0;20
11;18.418349742889404;2;200
11;4.348823070526123;0;46
11;6.127421140670776;0;66
11;9.343474388122559;0;99
11;2.213737964630127;0;23
11;3.4841506481170654;0;39
11;6.677421569824219;0;73
11;18.20146131515503;3;200
11;1.6594066619873047;0;19
11;7.216734409332275;0;71
11;2.008584976196289;0;20
11;4.831825494766235;0;47
11;5.1300950050354;0;53
11;5.530153751373291;0;57
11;8.927926540374756;0;98
11;0.9593751430511475;0;10
11;16.404332160949707;0;182
11;7.24825119972229;0;81
11;0.3959813117980957;0;5
11;9.549628496170044;0;106
11;0.10259509086608887;0;2
11;18.053123474121094;2;200
11;4.491981506347656;0;49
11;0.7380046844482422;0;8
11;19.09050750732422;2;200
11;0.8337547779083252;0;9
11;3.563018560409546;0;35
11;9.509138345718384;0;90
11;19.05246353149414;3;200
11;9.05116605758667;0;96
11;1.7117087841033936;0;19
11;8.398956060409546;0;83
11;2.8916015625;0;32
11;0.003000497817993164;0;1
11;10.026251792907715;0;103
11;4.35990571975708;0;46
11;1.0326004028320312;0;11
11;0.6385447978973389;0;7
11;0.9264695644378662;0;10
11;12.195715427398682;0;127
11;0.10100364685058594;0;2
11;1.7162909507751465;0;19
11;1.0696187019348145;0;12
11;2.4566867351531982;0;26
11;7.964433193206787;0;81
11;6.1705121994018555;0;66
11;5.282815456390381;0;58
11;9.091437101364136;0;99
11;0.8626041412353516;0;10
11;12.783761501312256;0;142
11;2.816256523132324;0;31
11;18.474644422531128;2;200
11;5.2117228507995605;0;57
11;19.169052600860596;3;200
11;8.948394536972046;0;96
11;7.762280225753784;0;83
11;0.004013538360595703;0;1
11;8.213489055633545;0;88
11;1.7636945247650146;0;19
11;10.647313833236694;0;111
11;1.8643569946289062;0;21
11;1.480332612991333;0;17
11;0.7696988582611084;0;9
11;18.54928708076477;2;200
11;18.74788236618042;2;200
11;5.782539129257202;0;61
11;5.351471424102783;0;59
11;3.353133201599121;0;38
11;18.249029874801636;0;190
11;16.844603538513184;0;186
12;21.790125370025635;3;200
12;21.980734825134277;2;200
12;3.865147829055786;0;36
12;21.366804599761963;3;200
12;21.60388684272766;3;200
12;6.439163446426392;0;59
12;20.83149266242981;0;196
12;13.744518041610718;0;129
12;12.727600574493408;0;119
12;21.453315019607544;3;200
12;0.48354101181030273;0;5
12;21.308574676513672;3;200
12;21.405668258666992;3;200
12;21.219505786895752;4;200
12;21.342154026031494;2;200
12;21.45655131340027;2;200
12;15.050373554229736;0;141
12;21.464918851852417;1;200
12;6.415399074554443;0;61
12;21.537256717681885;4;200
12;12.220296621322632;0;113
12;12.223710298538208;0;112
12;21.137187957763672;0;200
12;21.36719274520874;3;200
12;14.534640312194824;0;138
12;21.188071966171265;2;200
12;21.684441804885864;3;200
12;21.305915117263794;3;200
12;21.28661608695984;3;200
12;21.452008485794067;2;200
12;21.308878660202026;2;200
12;12.936416625976562;0;122
12;21.191966772079468;3;200
12;2.8283207416534424;0;27
12;21.17941188812256;3;200
12;21.400418519973755;1;200
12;8.652344942092896;0;82
12;11.703678607940674;0;110
12;21.84090304374695;1;200
12;3.4532172679901123;0;32
12;16.370144844055176;0;145
12;3.9496219158172607;0;36
12;21.299107789993286;5;200
12;8.668081283569336;0;81
12;9.064612865447998;0;86
12;15.811212301254272;0;146
12;12.05066180229187;0;118
12;5.259682893753052;0;52
12;20.494364976882935;2;200
12;20.957392692565918;4;200
12;8.74279499053955;0;85
12;12.33606767654419;0;121
12;4.165382623672485;0;41
12;9.749025821685791;0;96
12;20.432865619659424;3;200
12;6.0372092723846436;0;60
12;21.395153284072876;3;200
12;5.039189100265503;0;49
12;9.837966680526733;0;96
12;20.3110830783844;4;200
12;16.109980583190918;0;158
12;20.646302461624146;3;200
12;20.411022424697876;4;200
12;12.08130955696106;0;118
12;0.003000020980834961;0;1
12;3.9290506839752197;0;39
12;20.871140480041504;2;200
12;3.3818728923797607;0;34
12;20.588865995407104;4;200
12;17.970451831817627;0;176
12;0.8228883743286133;0;9
12;20.559263706207275;2;200
12;14.772295236587524;0;145
12;20.468865633010864;2;200
12;20.724292278289795;3;200
12;6.134972333908081;0;59
12;12.146470546722412;0;119
12;20.510440587997437;4;200
12;18.768972873687744;0;184
12;20.505383491516113;3;200
12;4.012599945068359;0;38
12;5.3788676261901855;0;50
12;20.96654200553894;0;200
12;20.889984607696533;2;200
12;21.317549467086792;1;200
12;2.9336464405059814;0;29
12;20.268643379211426;3;200
12;20.657086610794067;2;200
12;20.64864730834961;2;200
12;4.721578121185303;0;47
12;0.003526449203491211;0;1
12;20.431959629058838;3;200
12;20.25749158859253;2;200
12;11.93710207939148;0;117
12;8.920939445495605;0;87
12;20.517220497131348;1;200
12;20.600143671035767;3;200
12;10.362851858139038;0;102
12;5.493664979934692;0;54
12;1.4823095798492432;0;15
